identifier,jp,en,zh
DBG_CAPS_READ_SCANLINE,"　走査線取得能力 : ","  Get current scanline: ","　读取扫描线能力 : "
DBG_CAPS_WINDOW_MODE_RENDERING,"　ウィンドウモードのレンダリング : ","  Render in windowed mode: ","　窗口模式渲染 : "
DBG_CAPS_IMMEDIATE_PRESENTATION_SWAP,"　プレゼンテーション間隔（直接）: ","  Immediately swap presentation: ","　呈现间隔（直接）: "
DBG_CAPS_PRESENTATION_VSYNC,"　プレゼンテーション間隔（垂直同期）: ","  Use vsync for swaps: ","　呈现间隔（垂直同步）: "
DBG_CAPS_DEVICE_START,"　-- デバイス能力 ------------------------------\r\n","  -- Driver Capabilities ------------------------------\r\n","　-- 设备性能 ------------------------------\r\n"
DBG_CAPS_NONLOCAL_VRAM_BLIT,"　System -> 非ローカルVRAMブリット : ","  System -> Non-local VRAM blitting: ","　System -> 非本地 VRAM 位块传输 : "
DBG_CAPS_HARDWARE_TL,"　ハードウェア T&L : ","  Hardware T&L: ","　硬件 T&L : "
DBG_CAPS_TEXTURES_FROM_NONLOCAL_VRAM,"　非ローカルVRAMからテクスチャ取得 : ","  Use textures from non-local VRAM: ","　从非本地 VRAM 获取纹理 : "
DBG_CAPS_TEXTURES_FROM_MAIN_MEMORY,"　システムメモリからテクスチャ取得 : ","  Use textures from system memory: ","　从系统内存获取纹理 : "
DBG_CAPS_TEXTURES_FROM_VRAM,"　VRAM からテクスチャ取得 : ","  Use textures from VRAM: ","　从 VRAM 获取纹理 : "
DBG_CAPS_VERTEX_BUFFER_IN_RAM,"　頂点バッファにシステムメモリを使用 : ","  Use vertex buffer from system memory: ","　顶点缓冲区使用系统内存 : "
DBG_CAPS_VERTEX_BUFFER_IN_VRAM,"　頂点バッファにビデオメモリを使用 : ","  Use vertex buffer from VRAM","　顶点缓冲区使用显存 : "
DBG_CAPS_PRIMITIVES_START,"　-- プリミティブ能力 ---------------------------\r\n","  -- Primitive Capabilities ---------------------------\r\n","　-- 图元能力 ---------------------------\r\n"
DBG_CAPS_ALPHA_BLENDING,"　半透明処理 : ","  Alpha blending operations: ","　半透明处理 : "
DBG_CAPS_POINT_CLIPPING,"　ポイントのクリッピング処理 : ","  Do transformed point clipping: ","　点裁剪处理 : "
DBG_CAPS_VERTEX_CLIPPING,"　プリミティブのクリッピング処理 : ","  Do primitive clipping: ","　图元裁剪处理 : "
DBG_CAPS_CULL_CCW,"　法線クリップ（反時計周り） : ","  Cull counterclockwise winded primitives: ","　逆时针剔除 : "
DBG_CAPS_CULL_CW,"　法線クリップ（時計周り） : ","  Cull clockwise winded primitives: ","　顺时针剔除 : "
DBG_CAPS_CULL_NONE,"　法線クリップ無し : ","  Don't do winding-based culling of primitives: ","　不剔除 : "
DBG_CAPS_DEPTH_TEST_TOGGLE,"　デプステストON/OFF切り替え : ","  Toggle depth test on and off: ","　深度测试 ON/OFF 切换 : "
DBG_CAPS_RASTERIZER_START,"　-- ラスタ能力 --------------------------------\r\n","  -- Rasterizer Capabilities --------------------------------\r\n","　-- 光栅化能力 --------------------------------\r\n"
DBG_CAPS_ANISOTROPIC_FILTERING,"　異方性フィルタリング : ","  Anisotropic filtering: ","　各向异性过滤 : "
DBG_CAPS_ANTIALIASING,"　アンチエイリアシング : ","  Antialiasing: ","　抗锯齿 : "
DBG_CAPS_DITHERING,"　ディザ処理 : ","  Dithering: ","　抖动处理 : "
DBG_CAPS_RANGE_BASED_FOG,"　範囲ベースのフォグ : ","  Range based-fog: ","　基于范围的雾化 : "
DBG_CAPS_Z_BASED_FOG,"　Zベースのフォグ : ","  Z-based fog: ","　基于 Z 的雾化 : "
DBG_CAPS_TABLE_BASED_FOG,"　テーブルフォグ : ","  Table-based fog: ","　查表雾化 : "
DBG_CAPS_VERTEX_BASED_FOG,"　頂点フォグ : ","  Vertex-based fog: ","　基于顶点的雾化 : "
DBG_CAPS_DEPTH_TEST,"　デプステスト : ","  Depth test: ","　深度测试 : "
DBG_CAPS_SHADING_START,"　-- シェーディング能力 -----------------------\r\n","  -- Shading Capabilities ----------------------\r\n","　-- 着色能力 -----------------------\r\n"
DBG_CAPS_GOURAUD_SHADING,"　グーローシェーディング : ","  Gouraud shading: ","　高洛德着色 : "
DBG_CAPS_ALPHA_GOURAUD_SHADING,"　α成分のグーローシェーディング : ","  Gouraud shading with alpha components: ","　带 α 成分的高洛德着色 : "
DBG_CAPS_GOURAUD_SHADED_FOG,"　グーローシェーディングでフォグ : ","  Gouraud-shaded fog: ","　高洛德着色雾化 : "
DBG_CAPS_TEXTURE_START,"　-- テクスチャ能力 ---------------------------\r\n","  -- Texture Capabilities ---------------------------\r\n","　-- 纹理能力 ---------------------------\r\n"
DBG_CAPS_LARGEST_TEXTURE,"　最大テクスチャサイズ : (%d, %d)\r\n","  Maximum texture size: (%d, %d)\r\n","　最大纹理尺寸 : (%d, %d)\r\n"
DBG_CAPS_ALPHA_IN_TEXTURE,"　α付きテクスチャ : ","  Textures with alpha components: ","　带 α 的纹理 : "
DBG_CAPS_TEXTURE_TRANSFORM,"　テクスチャトランスフォーム : ","  Texture transform: ","　纹理变换 : "
DBG_CAPS_BILINEAR_FILTER_MAG,"　バイリニア補間（拡大） : ","  Bilinear filtering (Magnification): ","　双线性插值（放大） : "
DBG_CAPS_BILINEAR_FILTER_MIN,"　バイリニア補間（縮小） : ","  Bilinear filtering (Minification) : ","　双线性插值（缩小） : "
DBG_CAPS_END,"--------------------------------------------\r\n","--------------------------------------------\r\n","--------------------------------------------\r\n"
DBG_CAPABILITY_NOT_PRESENT,"不可\r\n","Unable\r\n","不可用\r\n"
DBG_CAPABILITY_PRESENT,"可\r\n","Able\r\n","可用\r\n"
ERR_ALREADY_RUNNING,"二つは起動できません\r\n","Can't start a second game instance!\r\n","无法同时启动两个实例\r\n"
ERR_NO_PAD_FOUND,"使えるパッドが存在しないようです、残念\r\n","Unfortunately, there doesn't seem to be a pad that can be used.\r\n","似乎没有可用的手柄，真遗憾\r\n"
ERR_MIDI_FAILED_TO_READ_FILE,"error : MIDI File が読み込めない %s \rv\r\n","error : MIDI File %s could not be read.\n","error : 无法读取 MIDI 文件 %s\r\n"
ERR_MIDI_NOT_LOADED,"error : まだMIDIが読み込まれていないのに再生しようとしている\r\n","error : MIDI not loaded before being playback started.\n","error : MIDI 尚未加载却试图播放\r\n"
ERR_ARCFILE_CORRUPTED,"ファイル %s のオープン中にエラーが発生しました\r\n","Error opening file %s","打开文件 %s 时发生错误\r\n"
ERR_NOT_A_WAV_FILE ,"Wav ファイルじゃない? %s\r\n","%s isn't a wav file?","这不是 WAV 文件？%s\r\n"
ERR_NOT_A_WAV_FILE2,"Wav ファイルじゃない %s\r\n","%s isn't a wav file","这不是 WAV 文件 %s\r\n"
ERR_NO_WAVE_FILE,"wave データが無いので、midi にします\r\n","There is no wave data, so I'll make it midi!\r\n","没有 wave 数据，因此改用 midi\r\n"
ERR_BGM_VERSION_MISMATCH,"BGM データのバージョンが違います\r\n","The BGM data version is wrong.\r\n","BGM 数据的版本不一致\r\n"
ERR_NO_VERTEX_BUFFER,"頂点バッファの使用を抑制します\r\n","Suppressing the use of the vertex buffer.\r\n","将抑制顶点缓冲区的使用\r\n"
ERR_NO_FOG,"フォグの使用を抑制します\r\n","Suppressing the use of fog.\r\n","将抑制雾化的使用\r\n"
ERR_USE_16BIT_TEXTURES,"16Bit のテクスチャの使用を強制します\r\n","Enforces the use of 16Bit textures.\r\n","将强制使用 16Bit 纹理\r\n"
ERR_FORCE_BACKBUFFER_CLEAR,"バックバッファの消去を強制します\r\n","Force clearing of the back buffer.\r\n","将强制清除后备缓冲\r\n"
ERR_DONT_RENDER_ITEMS,"ゲーム周りのアイテムの描画を抑制します\r\n","Suppress the rendering of items around the game.\r\n","将抑制游戏中道具的绘制\r\n"
ERR_NO_GOURAUD_SHADING,"グーローシェーディングを抑制します\r\n","Suppress gouraud shading.\r\n","将抑制高洛德着色\r\n"
ERR_NO_DEPTH_TESTING,"デプステストを抑制します\r\n","Suppress depth testing.\r\n","将抑制深度测试\r\n"
ERR_NO_TEXTURE_COLOR_COMPOSITING,"テクスチャの色合成を抑制します\r\n","Suppress texture color compositing.\r\n","将抑制纹理的颜色合成\r\n"
ERR_LAUNCH_WINDOWED,"ウィンドウモードで起動します\r\n","Launch in windowed mode.\r\n","将以窗口模式启动\r\n"
ERR_FORCE_REFERENCE_RASTERIZER,"リファレンスラスタライザを強制します\r\n","Force reference rasterizer.\r\n","将强制使用参考光栅化器\r\n"
ERR_DO_NOT_USE_DIRECTINPUT,"パッド、キーボードの入力に DirectInput を使用しません\r\n","Do not use DirectInput for pad and keyboard input.\r\n","手柄、键盘输入将不使用 DirectInput\r\n"
ERR_REDRAW_HUD_EVERY_FRAME,"画面周りを毎回描画します\r\n","Draw screen surroundings every time.\r\n","将每次都重绘画面周围\r\n"
ERR_PRELOAD_BGM,"ＢＧＭをメモリに読み込みます\r\n","Preload BGM in memory.\r\n","将把 BGM 加载到内存中\r\n"
ERR_NO_VSYNC,"垂直同期を取りません\r\n","No Vertical Sync.\r\n","不使用垂直同步\r\n"
ERR_DONT_DETECT_TEXT_BG,"文字描画の環境を自動検出しません\r\n","Do not detect text drawing brackground.\r\n","不自动检测文字绘制环境\r\n"
ERR_CONFIG_NOT_FOUND,"コンフィグデータが見つからないので初期化しました\r\n","Config not found, initializing with default values.\r\n","未找到配置数据，已初始化\r\n"
ERR_CONFIG_ABNORMAL,"コンフィグデータが異常でしたので再初期化しました\r\n","Config abnormal, reinitializing with default values.\r\n","配置数据异常，已重新初始化\r\n"
ERR_FILE_CANNOT_BE_EXPORTED,"ファイルが書き出せません %s\r\n","File cannot be exported %s.\r\n","无法导出文件 %s\r\n"
ERR_ENDING_FILE_UNREADABLE,"error : エンディングファイルが読み込めない、ファイルが破壊されています\r\n","error : Ending file cannot be read, the file is corrupted\r\n","error : 无法读取结局文件，文件已损坏\r\n"
ERR_FOLDER_HAS_WRITE_PROTECT_OR_DISK_FULL,"フォルダが書込み禁止属性になっているか、ディスクがいっぱいいっぱいになってませんか？\r\n","Folder has write protect attribute or disk full?\r\n","文件夹是否被设为禁止写入属性，或者磁盘是否已满？\r\n"
ERR_SOUNDPLAYER_FAILED_TO_CREATE_BGM_SOUND_BUFFER,"error : ストリーミング用サウンドバッファを作成出来ませんでした\r\n","error: Could not create sound buffer for music\r\n","error : 无法创建流式播放用声音缓冲区\r\n"
ERR_SOUNDPLAYER_FAILED_TO_INITIALIZE_OBJECT,"DirectSound オブジェクトの初期化が失敗したよ\r\n","DirectSound: Failed to initialize object\r\n","DirectSound 对象初始化失败\r\n"
ERR_SOUNDPLAYER_FAILED_TO_LOAD_SOUND_FILE,"error : Sound ファイルが読み込めない データを確認 %s\r\n","error: Could not load sound file %s\r\n","error : 无法读取声音文件，请检查数据 %s\r\n"
DBG_SOUNDPLAYER_INIT_SUCCESS,"DirectSound は正常に初期化されました\r\n","DirectSound initialized successfully\r\n","DirectSound 已正常初始化\r\n"
DBG_SOUNDPLAYER_BGM_THREAD_TERMINATED,"atention : ストリーミング用スレッドは終了しました。\r\n","attention : The streaming BGM task thread has terminated.\r\n","注意 : 流式播放用线程已结束。\r\n"
ERR_ANMMANAGER_NO_TEXTURE_STORAGE,"テクスチャ格納先が足りません\r\n","No more texture storage left\r\n","纹理存储空间不足\r\n"
ERR_ANMMANAGER_ANIMATION_CORRUPTED,"アニメが読み込めません。データが失われてるか壊れています\r\n","Unable to load animation %s. Data is missing or corrupted\r\n","无法加载动画。数据可能已丢失或损坏\r\n"
ERR_ANMMANAGER_ANIMATION_WRONG_VERSION,"アニメのバージョンが違います\r\n","Animation versions do not match\r\n","动画版本不一致\r\n"
ERR_ANMMANAGER_EXTERN_TEXTURE_CORRUPTED,"テクスチャ %s が作成できません。データが失われてるか壊れています\r\n","Unable to create texture %s. Data is missing or corrupted\r\n","无法创建纹理 %s。数据可能已丢失或损坏\r\n"
ERR_ANMMANAGER_TEXTURE_CORRUPTED,"テクスチャが読み込めません。データが失われてるか壊れています\r\n","The texture cannot be loaded. The data is either missing or corrupted.\r\n","无法加载纹理。数据可能已丢失或损坏\r\n"
ERR_CANNOT_BE_LOADED,"%sが読み込めないです。\r\n","%s cannot be read.\r\n","无法读取 %s。\r\n"
ERR_DAT_NOT_FOUND,"error : データファイルが存在しません\r\n","error: The data file does not exist.\r\n","error : 数据文件不存在\r\n"
ERR_DAT_WRONG_VERSION,"error : データのバージョンが違います\r\n","error: data versions do not match\r\n","error : 数据版本不一致\r\n"
ERR_FAILED_TO_INIT_ASCII,"error : 文字の初期化に失敗しました\r\n","error: Failed to initialize text\r\n","error : 文字初始化失败\r\n"
ERR_FAILED_TO_INIT_BGM,"error : BGM の初期化に失敗しました\r\n","error: Failed to initialize BGM\r\n","error : BGM 初始化失败\r\n"
SONG_NAME_NOT_UNLOCKED,"？？？？？？？？","???????",？？？？？？？？
WARN_BGM_NOT_UNLOCKED0,"＊＊＊注意＊＊＊","***Warning***",＊＊＊注意＊＊＊
WARN_BGM_NOT_UNLOCKED1,"　この曲はまだ、ゲーム中で流れておりません","This track has not yet been featured in the game.","　这首曲子还没有在游戏中播放过"
WARN_BGM_NOT_UNLOCKED2,"　自分でプレイする前に聴きたくない、コメントを見たくない、","If you don’t want to hear this or see the comments before playing the game yourself, ","　如果不想在亲自游玩前听到它、不想看到评论，"
WARN_BGM_NOT_UNLOCKED3,"　という方は一刻も早くここから立ち去る事をお奨めします。","I strongly recommend you leave this page immediately.","　建议您尽快离开这里。"
WARN_BGM_NOT_UNLOCKED4,"　"," ","　"
WARN_BGM_NOT_UNLOCKED5,"　（なお、ここで決定ボタンを押せば、他の曲と同様、","Please note that if you press the “Confirm” button here,","　（另外，如果在此按下确定键，与其他曲子一样，"
WARN_BGM_NOT_UNLOCKED6,"　　曲の再生とコメント表示が行われますので、注意）","the song will play and the comments will be displayed, just as with other songs.)".,"　　将播放乐曲并显示评论，请注意）"
TITLE_STARTMENU_HELPTEXT0,"ゲームを開始します","",开始游戏
TITLE_STARTMENU_HELPTEXT1,"エキストラステージを開始します","",开始额外关卡
TITLE_STARTMENU_HELPTEXT2,"敵にスペルカード戦をお願いします","",向敌人发起符卡战
TITLE_STARTMENU_HELPTEXT3,"ステージを選択し、練習を開始します","",选择关卡并开始练习
TITLE_STARTMENU_HELPTEXT4,"リプレイを鑑賞できます","",可以观看回放
TITLE_STARTMENU_HELPTEXT5,"過去のスコアやスペルカードの取得歴を見られます","",可以查看过去的分数及符卡的取得记录
TITLE_STARTMENU_HELPTEXT6,"音楽を聴けます","",可以欣赏音乐
TITLE_STARTMENU_HELPTEXT7,"各種設定できます","",可以进行各种设定
TITLE_STARTMENU_HELPTEXT8,"いろいろと終了します","",就此结束
TITLE_OPTIONS_HELPTEXT0,"プレイヤーの初期数を変更します。（初期設定　３）","",更改玩家的初始生命数。（初始设定　３）
TITLE_OPTIONS_HELPTEXT1,"画面の色数を変更します。３２ＢＩＴだと最も綺麗に表示されます。","",更改画面的色数。３２ＢＩＴ时显示效果最好。
TITLE_OPTIONS_HELPTEXT2,"ＢＧＭの再生方法を変更します。（初期設定　ＷＡＶ）","",更改 BGM 的播放方式。（初始设定　WAV）
TITLE_OPTIONS_HELPTEXT3,"ＢＧＭの音量を調整します","",调整 BGM 的音量
TITLE_OPTIONS_HELPTEXT4,"効果音の音量を調整します","",调整音效的音量
TITLE_OPTIONS_HELPTEXT5,"ウィンドウかフルスクリーンか選択します","",选择窗口模式还是全屏模式
TITLE_OPTIONS_HELPTEXT6,"弾が多い場面でわざと処理落ちさせます(スコア、リプレイ記録不可)","",在弹幕密集的场景故意降低处理速度（无法记录分数、回放）
TITLE_OPTIONS_HELPTEXT7,"全て初期設定にします","",恢复为全部初始设定
TITLE_OPTIONS_HELPTEXT8,"パッド操作のボタン配置を変更します","",更改手柄操作的按键配置
TITLE_OPTIONS_HELPTEXT9,"おいそれと終了します","",就这么退出
TITLE_KEYCONFIG_HELPTEXT0,"ショット、決定ボタンを設定します","",设置射击、确定键
TITLE_KEYCONFIG_HELPTEXT1,"ボム、キャンセルボタンを設定します","",设置炸弹、取消键
TITLE_KEYCONFIG_HELPTEXT2,"低速移動ボタンを設定します","",设置低速移动键
TITLE_KEYCONFIG_HELPTEXT3,"メッセージスキップボタンを設定します","",设置对话跳过键
TITLE_KEYCONFIG_HELPTEXT4,"ポーズボタンを設定します","",设置暂停键
TITLE_KEYCONFIG_HELPTEXT5,"上移動ボタンを設定します","",设置向上移动键
TITLE_KEYCONFIG_HELPTEXT6,"下移動ボタンを設定します","",设置向下移动键
TITLE_KEYCONFIG_HELPTEXT7,"左移動ボタンを設定します","",设置向左移动键
TITLE_KEYCONFIG_HELPTEXT8,"右移動ボタンを設定します","",设置向右移动键
TITLE_KEYCONFIG_HELPTEXT9,"ショット押しっぱなしで低速移動になるようにします","",设置按住射击键进行低速移动
TITLE_KEYCONFIG_HELPTEXT10,"初期設定に戻します","",恢复初始设定
TITLE_KEYCONFIG_HELPTEXT11,"おおよそ終了します","",就此退出
TITLE_SPELL_STAGE_INFO,"ステージ    取得/挑戦可能/総数（()内は全キャラ合計）","",关卡    取得/可挑战/总数（括号内为全角色合计）
TITLE_SPELL_CAPTURE_PERCENTAGE,"取得率　（キャラ別／総合）","",取得率　（分角色／综合）
TITLE_FULLWIDTH_DIGIT_0,"０","0",０
TITLE_FULLWIDTH_DIGIT_1,"１","1",１
TITLE_FULLWIDTH_DIGIT_2,"２","2",２
TITLE_FULLWIDTH_DIGIT_3,"３","3",３
TITLE_FULLWIDTH_DIGIT_4,"４","4",４
TITLE_FULLWIDTH_DIGIT_5,"５","5",５
TITLE_FULLWIDTH_DIGIT_6,"６","6",６
TITLE_FULLWIDTH_DIGIT_7,"７","7",７
TITLE_FULLWIDTH_DIGIT_8,"８","8",８
TITLE_FULLWIDTH_DIGIT_9,"９","9",９
TITLE_SPELLCARD_NOT_UNLOCKED,"？？？？？？？？","???????",？？？？？？？？
TITLE_SPELLCARD_AVAILABLE,"挑戦者歓迎中！","",欢迎挑战！
TITLE_SPELL_CARD_INFO,"取得数/挑戦数（()内は本編での集計）","",取得数/挑战数（括号内为正篇中的统计）
ERR_REPLAY_CORRUPTED,"リプレイデータが異常\r\n","","回放数据异常\r\n"
TITLE_SPELLCARD_INFO_NO,"Ｎｏ．%s　　%s","",Ｎｏ．%s　　%s
TITLE_SPELLCARD_INFO_USER,"使用者  %s　　%s %s","",使用者  %s　　%s %s
TITLE_SPELLCARD_INFO_ACQUIRED,"取得数/挑戦数[最高点]　%s　全主人公合計","",取得数/挑战数[最高分]　%s　全主角合计
TITLE_SPELLCARD_INFO_STATS_DASH,"　　---/---(---/---)[--------]　　---/---(---/---)[--------]","","　　---/---(---/---)[--------]　　---/---(---/---)[--------]"
TITLE_SPELLCARD_INFO_STATS_NUM,"　　%3d/%3d(%3d/%3d)[%.8d]　　%3d/%3d(%3d/%3d)[%.8d]","","　　%3d/%3d(%3d/%3d)[%.8d]　　%3d/%3d(%3d/%3d)[%.8d]"
TITLE_SPELLCARD_INFO_STATS_MIXED,"　　%3d/%3d(---/---)[%.8d]　　%3d/%3d(---/---)[%.8d]","","　　%3d/%3d(---/---)[%.8d]　　%3d/%3d(---/---)[%.8d]"
TITLE_SPELLCARD_INFO_SUPPLEMENT,"カードの補足","",符卡补充说明
TITLE_SPELLCARD_INFO_QMARKS,"？？？？？？？？？","",？？？？？？？？？
